codigo,descripcion,Autorizado presupuesto,recaudación mes,acumulado,en menos,en más,anio,mes
1.00.00.00.00.00.000,INGRESOS CORRIENTES,"141390.000,00","9037.905,96","63369.282,18","78020.717,82","0,00",2017,7
1.01.00.00.00.00.000,INGRESOS DE JURISDICCION MUNICIPAL,"75690.000,00","4241.904,86","30589.317,52","45100.682,48","0,00",2017,7
1.01.00.01.00.00.000,INGRESOS TRIBUTARIOS,"63040.000,00","3027.743,32","27427.765,78","35612.234,22","0,00",2017,7
1.01.00.01.00.01.000,CONTRIBUCION INMUEBLE,"30000.000,00","1015.347,13","9020.125,86","20979.874,14","0,00",2017,7
1.01.00.01.00.02.000,CONT.QUE INC.S/COM. E IND.,"2000.000,00","165.344,32","882.915,44","1117.084,56","0,00",2017,7
1.01.00.01.00.03.000,CONT.QUE INC.S/ESPECT. Y DIV.PBCAS.,"10.000,00","0,00","0,00","10.000,00","0,00",2017,7
1.01.00.01.00.08.000,CONT.QUE INC.S/LOS CEMENT.(EXC.C.DE N. Y),"10.000,00","0,00","0,00","10.000,00","0,00",2017,7
1.01.00.01.00.11.000,CONT.P/SERV.RELAT.A LA CONSTR.DE OBRAS PRIV.,"2200.000,00","235.097,76","1278.864,27","921.135,73","0,00",2017,7
1.01.00.01.00.11.001,derechos variables O p,"2000.000,00","214.837,76","1192.144,27","807.855,73","0,00",2017,7
1.01.00.01.00.11.002,DER OF FIJOS O PRIV,"200.000,00","20.260,00","86.720,00","113.280,00","0,00",2017,7
1.01.00.01.00.12.000,CONT.P/INSPECCION ELECTR. Y MECANICA,"4000.000,00","0,00","2966.812,86","1033.187,14","0,00",2017,7
1.01.00.01.00.14.000,DERECHOS DE OFICINA,"1300.000,00","67.256,02","346.499,56","953.500,44","0,00",2017,7
1.01.00.01.00.14.001,RECUPERO DE GASTOS POR NOTIFICACIONES,"200.000,00","19.250,00","128.707,37","71.292,63","0,00",2017,7
1.01.00.01.00.14.002,OTROS DERECHOS DE OFICINA,"500.000,00","48.006,02","217.792,19","282.207,81","0,00",2017,7
1.01.00.01.00.14.003,Interes plan pago tarjeta credito,"600.000,00","0,00","0,00","600.000,00","0,00",2017,7
1.01.00.01.00.15.000,TASA P/SERVICIO DE REGISTRO CIVIL,"900.000,00","49.400,00","368.370,00","531.630,00","0,00",2017,7
1.01.00.01.00.16.000,OTROS TRIBUTOS,"50.000,00","0,00","14.563,33","35.436,67","0,00",2017,7
1.01.00.01.00.18.000,TRIBUTOS CORRESP. A EJERC. ANTERIORES,"15420.000,00","1015.015,22","7797.672,99","7622.327,01","0,00",2017,7
1.01.00.01.00.18.001,comercio e industria,"400.000,00","20.105,54","332.679,89","67.320,11","0,00",2017,7
1.01.00.01.00.18.002,tasa a la propiedad ejer. anteriores,"10000.000,00","647.372,65","4712.404,01","5287.595,99","0,00",2017,7
1.01.00.01.00.18.003,Cont s/automotores ejerc nterior,"5000.000,00","347.537,03","2752.589,09","2247.410,91","0,00",2017,7
1.01.00.01.00.18.004,DEUDAS VARIAS ANTERIORES,"20.000,00","0,00","0,00","20.000,00","0,00",2017,7
1.01.00.01.00.19.000,CONTR.MUNICIP.S/AUTOMOTORES Y SIMILARES,"7000.000,00","480.282,87","4654.441,47","2345.558,53","0,00",2017,7
1.01.00.01.00.20.000,TASA DE INSP. SOBRE ESTRUCTURAS PORTANTES,"150.000,00","0,00","97.500,00","52.500,00","0,00",2017,7
1.01.00.02.00.00.000,OTROS INGRESOS DE JURIDICCION MUNICIPAL,"12650.000,00","1214.161,54","3161.551,74","9488.448,26","0,00",2017,7
1.01.00.02.00.02.000,RENTAS QUE PRODUCE EL PATRIMONIO,"1230.000,00","1104.906,54","1744.988,98","0,00","514.988,98",2017,7
1.01.00.02.00.02.001,ALQUILER DE MAQUINARIAS,"10.000,00","0,00","0,00","10.000,00","0,00",2017,7
1.01.00.02.00.02.002,DIFERENCIA DE CAMBIO MONEDA EXTRANJERA,"10.000,00","0,00","0,00","10.000,00","0,00",2017,7
1.01.00.02.00.02.003,RECOLECCION DE PODA Y ESCOMBROS,"50.000,00","0,00","0,00","50.000,00","0,00",2017,7
1.01.00.02.00.02.004,RECOLECION DE RESIDUOS BARRIO 4 HOJAS,"1000.000,00","81.600,00","541.600,00","458.400,00","0,00",2017,7
1.01.00.02.00.02.005,PROVISION DE AGUA,"10.000,00","0,00","0,00","10.000,00","0,00",2017,7
1.01.00.02.00.02.006,OTROS INGRESOS,"100.000,00","1023.306,54","1203.388,98","0,00","1103.388,98",2017,7
1.01.00.02.00.02.010,Registro Anulacion ordenes de pago,"50.000,00","0,00","0,00","50.000,00","0,00",2017,7
1.01.00.02.00.03.000,INGRESO CENTRO DE SALUD MUNICIPAL,"1400.000,00","78.351,00","871.663,00","528.337,00","0,00",2017,7
1.01.00.02.00.03.001,BONOS CENTRO DE SALUD,"1000.000,00","0,00","616.365,00","383.635,00","0,00",2017,7
1.01.00.02.00.03.002,Red Sanitaria,"200.000,00","23.195,00","165.942,00","34.058,00","0,00",2017,7
1.01.00.02.00.03.003,B.c.s. el talar,"200.000,00","55.156,00","89.356,00","110.644,00","0,00",2017,7
1.01.00.02.00.04.000,OFICINA ADMINISTRATIVA DE FALTAS,"620.000,00","24.274,00","286.172,25","333.827,75","0,00",2017,7
1.01.00.02.00.04.001,MULTAS SOBRE COMERCIO E INDUSTRIA,"20.000,00","0,00","0,00","20.000,00","0,00",2017,7
1.01.00.02.00.04.002,MULTAS DE OBRAS PRIVADAS,"100.000,00","0,00","0,00","100.000,00","0,00",2017,7
1.01.00.02.00.04.003,MULTAS DE TRANSITO,"100.000,00","0,00","0,00","100.000,00","0,00",2017,7
1.01.00.02.00.04.004,OTRAS MULTAS,"400.000,00","24.274,00","286.172,25","113.827,75","0,00",2017,7
1.01.00.02.00.05.000,CONTRIBUCION POR MEJORAS,"9200.000,00","6.630,00","24.896,00","9175.104,00","0,00",2017,7
1.01.00.02.00.05.001,CORDON CUNETA,"1000.000,00","0,00","0,00","1000.000,00","0,00",2017,7
1.01.00.02.00.05.002,OBRA GAS NATURAL,"7000.000,00","0,00","0,00","7000.000,00","0,00",2017,7
1.01.00.02.00.05.004,OBRA ALUMBRADO PUBLICO,"1200.000,00","6.630,00","24.896,00","1175.104,00","0,00",2017,7
1.01.00.02.00.06.000,"SUBENCIONES, DONACIONES Y LEGADOS","60.000,00","0,00","0,00","60.000,00","0,00",2017,7
1.01.00.02.00.06.001,DONACIONES POR PUBLICIDAD,"20.000,00","0,00","0,00","20.000,00","0,00",2017,7
1.01.00.02.00.06.002,OTRAS DONACIONES Y LEGADOS,"40.000,00","0,00","0,00","40.000,00","0,00",2017,7
1.01.00.02.00.07.000,EVENTUALES E IMPREVISTOS,"100.000,00","0,00","233.831,51","0,00","133.831,51",2017,7
1.01.00.02.00.08.000,INGRESO MUSEO A CIELO ABIERTO,"40.000,00","0,00","0,00","40.000,00","0,00",2017,7
1.02.00.00.00.00.000,DE OTRAS JURIDICCIONES,"65700.000,00","4796.001,10","32779.964,66","32920.035,34","0,00",2017,7
1.02.00.01.00.00.000,PARTICIPACION EN IMPUESTOS PCIALESY NAC.,"52000.000,00","4796.001,10","28176.664,66","23823.335,34","0,00",2017,7
