codigo,descripcion,Autorizado presupuesto,recaudación mes,acumulado,en menos,en más
1.00.00.00.00.00.000,INGRESOS CORRIENTES,"138744.000,00","8536.601,99","45185.354,99","93558.645,01","0,00"
1.01.00.00.00.00.000,INGRESOS DE JURISDICCION MUNICIPAL,"75090.000,00","3734.449,39","22187.811,48","52902.188,52","0,00"
1.01.00.01.00.00.000,INGRESOS TRIBUTARIOS,"62440.000,00","3083.551,79","20414.468,06","42025.531,94","0,00"
1.01.00.01.00.01.000,CONTRIBUCION INMUEBLE,"30000.000,00","705.554,68","7140.641,12","22859.358,88","0,00"
1.01.00.01.00.02.000,CONT.QUE INC.S/COM. E IND.,"2000.000,00","127.233,46","633.848,78","1366.151,22","0,00"
1.01.00.01.00.03.000,CONT.QUE INC.S/ESPECT. Y DIV.PBCAS.,"10.000,00","0,00","0,00","10.000,00","0,00"
1.01.00.01.00.08.000,CONT.QUE INC.S/LOS CEMENT.(EXC.C.DE N. Y),"10.000,00","0,00","0,00","10.000,00","0,00"
1.01.00.01.00.11.000,CONT.P/SERV.RELAT.A LA CONSTR.DE OBRAS PRIV.,"2200.000,00","224.960,19","713.477,85","1486.522,15","0,00"
1.01.00.01.00.11.001,derechos variables O p,"2000.000,00","213.060,19","657.197,85","1342.802,15","0,00"
1.01.00.01.00.11.002,DER OF FIJOS O PRIV,"200.000,00","11.900,00","56.280,00","143.720,00","0,00"
1.01.00.01.00.12.000,CONT.P/INSPECCION ELECTR. Y MECANICA,"4000.000,00","477.697,38","1942.663,66","2057.336,34","0,00"
1.01.00.01.00.14.000,DERECHOS DE OFICINA,"700.000,00","59.954,06","229.100,28","470.899,72","0,00"
1.01.00.01.00.14.001,RECUPERO DE GASTOS POR NOTIFICACIONES,"200.000,00","25.480,00","88.077,37","111.922,63","0,00"
1.01.00.01.00.14.002,OTROS DERECHOS DE OFICINA,"500.000,00","34.474,06","141.022,91","358.977,09","0,00"
1.01.00.01.00.14.003,Interes plan pago tarjeta credito,"0,00","0,00","0,00","0,00","0,00"
1.01.00.01.00.15.000,TASA P/SERVICIO DE REGISTRO CIVIL,"900.000,00","52.620,00","282.980,00","617.020,00","0,00"
1.01.00.01.00.16.000,OTROS TRIBUTOS,"50.000,00","2.591,41","14.231,19","35.768,81","0,00"
1.01.00.01.00.18.000,TRIBUTOS CORRESP. A EJERC. ANTERIORES,"15420.000,00","1032.097,26","5685.108,39","9734.891,61","0,00"
1.01.00.01.00.18.001,comercio e industria,"400.000,00","24.534,59","299.890,46","100.109,54","0,00"
1.01.00.01.00.18.002,tasa a la propiedad ejer. anteriores,"10000.000,00","621.943,97","3354.288,10","6645.711,90","0,00"
1.01.00.01.00.18.003,Cont s/automotores ejerc nterior,"5000.000,00","385.618,70","2030.929,83","2969.070,17","0,00"
1.01.00.01.00.18.004,DEUDAS VARIAS ANTERIORES,"20.000,00","0,00","0,00","20.000,00","0,00"
1.01.00.01.00.19.000,CONTR.MUNICIP.S/AUTOMOTORES Y SIMILARES,"7000.000,00","400.843,35","3674.916,79","3325.083,21","0,00"
1.01.00.01.00.20.000,TASA DE INSP. SOBRE ESTRUCTURAS PORTANTES,"150.000,00","0,00","97.500,00","52.500,00","0,00"
1.01.00.02.00.00.000,OTROS INGRESOS DE JURIDICCION MUNICIPAL,"12650.000,00","650.897,60","1773.343,42","10876.656,58","0,00"
1.01.00.02.00.02.000,RENTAS QUE PRODUCE EL PATRIMONIO,"1230.000,00","149.991,03","533.484,01","696.515,99","0,00"
1.01.00.02.00.02.001,ALQUILER DE MAQUINARIAS,"10.000,00","0,00","0,00","10.000,00","0,00"
1.01.00.02.00.02.002,DIFERENCIA DE CAMBIO MONEDA EXTRANJERA,"10.000,00","0,00","0,00","10.000,00","0,00"
1.01.00.02.00.02.003,RECOLECCION DE PODA Y ESCOMBROS,"50.000,00","0,00","0,00","50.000,00","0,00"
1.01.00.02.00.02.004,RECOLECION DE RESIDUOS BARRIO 4 HOJAS,"1000.000,00","81.600,00","378.400,00","621.600,00","0,00"
