codigo,descripcion,Autorizado presupuesto,imputado mes,imputado acumulado,saldo a imputar,pagado mes,pagado acumulado,saldo a pagar
1.00.00.00.00.00.000,EGRESOS CORRIENTES,"91610.320,00","1710.602,38","13761.844,85","77848.475,15","2968.885,18","10414.760,54","3347.084,31"
1.01.00.00.00.00.000,FUNCIONAMIENTO,"76353.320,00","1550.836,45","11864.208,66","64489.111,34","2491.227,72","9179.448,92","2684.759,74"
1.01.01.00.00.00.000,PERSONAL,"49086.320,00","854.651,00","8164.039,88","40922.280,12","1174.042,22","7403.066,21","760.973,67"
1.01.01.01.01.00.000,SUELDOS BASICOS,"13303.907,00","292.596,00","292.596,00","13011.311,00","0,00","0,00","292.596,00"
1.01.01.01.01.01.000,"AUTORIDADES SUPERIORES, H.C.D. Y H.T.C.","2527.296,00","175.608,00","175.608,00","2351.688,00","0,00","0,00","175.608,00"
1.01.01.01.01.01.001,INTENDENTE,"405.432,00","33.786,00","33.786,00","371.646,00","0,00","0,00","33.786,00"
1.01.01.01.01.01.002,secretario de  gobierno,"283.644,00","23.637,00","23.637,00","260.007,00","0,00","0,00","23.637,00"
1.01.01.01.01.01.003,SECRETARIO DE OBRAS PUBLICAS Y PRIVADAS,"283.644,00","23.637,00","23.637,00","260.007,00","0,00","0,00","23.637,00"
1.01.01.01.01.01.004,SECRETARIO DE HACIENDA,"283.644,00","23.637,00","23.637,00","260.007,00","0,00","0,00","23.637,00"
1.01.01.01.01.01.005,SECRETARIO de servicios Publicos,"283.644,00","23.637,00","23.637,00","260.007,00","0,00","0,00","23.637,00"
1.01.01.01.01.01.006,Secretario de Desarrollo y Gest. publica,"283.644,00","23.637,00","23.637,00","260.007,00","0,00","0,00","23.637,00"
1.01.01.01.01.01.007,secretario de seguridad ciudadana,"283.644,00","23.637,00","23.637,00","260.007,00","0,00","0,00","23.637,00"
1.01.01.01.01.01.010,Direccion de Alumbrado Publico,"84.000,00","0,00","0,00","84.000,00","0,00","0,00","0,00"
1.01.01.01.01.01.011,Direccion de Obras Publicas,"84.000,00","0,00","0,00","84.000,00","0,00","0,00","0,00"
1.01.01.01.01.01.012,Direccion de Espacios Verdes,"84.000,00","0,00","0,00","84.000,00","0,00","0,00","0,00"
1.01.01.01.01.01.013,DIRECCION DE MEDIO AMBIENTE,"84.000,00","0,00","0,00","84.000,00","0,00","0,00","0,00"
1.01.01.01.01.01.015,Asesora Letrada,"84.000,00","0,00","0,00","84.000,00","0,00","0,00","0,00"
1.01.01.01.01.02.000,personal jerarquico,"1206.792,00","60.066,00","60.066,00","1146.726,00","0,00","0,00","60.066,00"
1.01.01.01.01.02.001,CAPATAZ GENERAL             (24),"121.500,00","0,00","0,00","121.500,00","0,00","0,00","0,00"
1.01.01.01.01.02.002,JEFE DE DEP OBRAS PRIV CAT  (24),"121.500,00","0,00","0,00","121.500,00","0,00","0,00","0,00"
1.01.01.01.01.02.003,JEFE DEPARTAMENTO 24,"121.500,00","0,00","0,00","121.500,00","0,00","0,00","0,00"
1.01.01.01.01.02.004,JEFE DEPSRTAMENTO RENTAS Y TESORERIA 24,"121.500,00","10.125,00","10.125,00","111.375,00","0,00","0,00","10.125,00"
1.01.01.01.01.02.005,Jefe de Departamento Seguridad Ciudadana,"121.500,00","0,00","0,00","121.500,00","0,00","0,00","0,00"
1.01.01.01.01.02.006,JEFE Departamento - Contaduria (24),"121.500,00","10.125,00","10.125,00","111.375,00","0,00","0,00","10.125,00"
1.01.01.01.01.02.007,JEFE de Departamento Registro Civil (24),"121.500,00","10.125,00","10.125,00","111.375,00","0,00","0,00","10.125,00"
1.01.01.01.01.02.008,JEFE de Seccion II - Coordinacion (22),"119.100,00","9.925,00","9.925,00","109.175,00","0,00","0,00","9.925,00"
1.01.01.01.01.02.009,JEFE DE SECCION I RENTAS 22,"119.100,00","9.925,00","9.925,00","109.175,00","0,00","0,00","9.925,00"
1.01.01.01.01.02.011,Jefe de seccion administrativo 21,"118.092,00","9.841,00","9.841,00","108.251,00","0,00","0,00","9.841,00"
1.01.01.01.01.03.000,PERSONAL SUPERIOR ADMINISTRATIVO,"234.312,00","19.526,00","19.526,00","214.786,00","0,00","0,00","19.526,00"
1.01.01.01.01.03.001,ADMINISTRATIVO SUPERIOR I   (20),"117.120,00","9.760,00","9.760,00","107.360,00","0,00","0,00","9.760,00"
1.01.01.01.01.03.002,Administrativo superior III (18),"117.192,00","9.766,00","9.766,00","107.426,00","0,00","0,00","9.766,00"
