codigo,descripcion,Autorizado presupuesto,imputado mes,imputado acumulado,saldo a imputar,pagado mes,pagado acumulado,saldo a pagar
1.00.00.00.00.00.000,EGRESOS CORRIENTES,"91610.320,00","12051.242,47","12051.242,47","79559.077,53","7445.875,36","7445.875,36","4605.367,11"
1.01.00.00.00.00.000,FUNCIONAMIENTO,"76353.320,00","10313.372,21","10313.372,21","66039.947,79","6688.221,20","6688.221,20","3625.151,01"
1.01.01.00.00.00.000,PERSONAL,"49086.320,00","7309.388,88","7309.388,88","41776.931,12","6229.023,99","6229.023,99","1080.364,89"
1.01.01.01.01.00.000,SUELDOS BASICOS,"13203.907,00","0,00","0,00","13203.907,00","0,00","0,00","0,00"
1.01.01.01.01.01.000,"AUTORIDADES SUPERIORES, H.C.D. Y H.T.C.","2527.296,00","0,00","0,00","2527.296,00","0,00","0,00","0,00"
1.01.01.01.01.01.001,INTENDENTE,"405.432,00","0,00","0,00","405.432,00","0,00","0,00","0,00"
1.01.01.01.01.01.002,secretario de  gobierno,"283.644,00","0,00","0,00","283.644,00","0,00","0,00","0,00"
1.01.01.01.01.01.003,SECRETARIO DE OBRAS PUBLICAS Y PRIVADAS,"283.644,00","0,00","0,00","283.644,00","0,00","0,00","0,00"
1.01.01.01.01.01.004,SECRETARIO DE HACIENDA,"283.644,00","0,00","0,00","283.644,00","0,00","0,00","0,00"
1.01.01.01.01.01.005,SECRETARIO de servicios Publicos,"283.644,00","0,00","0,00","283.644,00","0,00","0,00","0,00"
1.01.01.01.01.01.006,Secretario de Desarrollo y Gest. publica,"283.644,00","0,00","0,00","283.644,00","0,00","0,00","0,00"
1.01.01.01.01.01.007,secretario de seguridad ciudadana,"283.644,00","0,00","0,00","283.644,00","0,00","0,00","0,00"
1.01.01.01.01.01.010,Direccion de Alumbrado Publico,"84.000,00","0,00","0,00","84.000,00","0,00","0,00","0,00"
1.01.01.01.01.01.011,Direccion de Obras Publicas,"84.000,00","0,00","0,00","84.000,00","0,00","0,00","0,00"
1.01.01.01.01.01.012,Direccion de Espacios Verdes,"84.000,00","0,00","0,00","84.000,00","0,00","0,00","0,00"
1.01.01.01.01.01.013,DIRECCION DE MEDIO AMBIENTE,"84.000,00","0,00","0,00","84.000,00","0,00","0,00","0,00"
