codigo,descripcion,Autorizado presupuesto,imputado mes,imputado acumulado,saldo a imputar,pagado mes,pagado acumulado,saldo a pagar
1.00.00.00.00.00.000,EGRESOS CORRIENTES,"91610.320,00","9604.096,13","23365.940,98","68244.379,02","5533.514,03","15948.274,57","7417.666,41"
1.01.00.00.00.00.000,FUNCIONAMIENTO,"76353.320,00","8311.451,52","20175.660,18","56177.659,82","4664.224,28","13843.673,20","6331.986,98"
1.01.01.00.00.00.000,PERSONAL,"49086.320,00","4748.860,23","12912.900,11","36173.419,89","3103.822,20","10506.888,41","2406.011,70"
1.01.01.01.01.00.000,SUELDOS BASICOS,"13303.907,00","1261.826,00","1554.422,00","11749.485,00","777.211,00","777.211,00","777.211,00"
1.01.01.01.01.01.000,"AUTORIDADES SUPERIORES, H.C.D. Y H.T.C.","2527.296,00","180.608,00","356.216,00","2171.080,00","178.108,00","178.108,00","178.108,00"
1.01.01.01.01.01.001,INTENDENTE,"405.432,00","33.786,00","67.572,00","337.860,00","33.786,00","33.786,00","33.786,00"
1.01.01.01.01.01.002,secretario de  gobierno,"283.644,00","23.637,00","47.274,00","236.370,00","23.637,00","23.637,00","23.637,00"
1.01.01.01.01.01.003,SECRETARIO DE OBRAS PUBLICAS Y PRIVADAS,"283.644,00","23.637,00","47.274,00","236.370,00","23.637,00","23.637,00","23.637,00"
1.01.01.01.01.01.004,SECRETARIO DE HACIENDA,"283.644,00","23.637,00","47.274,00","236.370,00","23.637,00","23.637,00","23.637,00"
1.01.01.01.01.01.005,SECRETARIO de servicios Publicos,"283.644,00","23.637,00","47.274,00","236.370,00","23.637,00","23.637,00","23.637,00"
1.01.01.01.01.01.006,Secretario de Desarrollo y Gest. publica,"283.644,00","23.637,00","47.274,00","236.370,00","23.637,00","23.637,00","23.637,00"
1.01.01.01.01.01.007,secretario de seguridad ciudadana,"283.644,00","23.637,00","47.274,00","236.370,00","23.637,00","23.637,00","23.637,00"
1.01.01.01.01.01.010,Direccion de Alumbrado Publico,"84.000,00","0,00","0,00","84.000,00","0,00","0,00","0,00"
1.01.01.01.01.01.011,Direccion de Obras Publicas,"84.000,00","5.000,00","5.000,00","79.000,00","2.500,00","2.500,00","2.500,00"
1.01.01.01.01.01.012,Direccion de Espacios Verdes,"84.000,00","0,00","0,00","84.000,00","0,00","0,00","0,00"
1.01.01.01.01.01.013,DIRECCION DE MEDIO AMBIENTE,"84.000,00","0,00","0,00","84.000,00","0,00","0,00","0,00"
1.01.01.01.01.01.015,Asesora Letrada,"84.000,00","0,00","0,00","84.000,00","0,00","0,00","0,00"
1.01.01.01.01.02.000,personal jerarquico,"1206.792,00","60.066,00","120.132,00","1086.660,00","60.066,00","60.066,00","60.066,00"
1.01.01.01.01.02.001,CAPATAZ GENERAL             (24),"121.500,00","0,00","0,00","121.500,00","0,00","0,00","0,00"
1.01.01.01.01.02.002,JEFE DE DEP OBRAS PRIV CAT  (24),"121.500,00","0,00","0,00","121.500,00","0,00","0,00","0,00"
1.01.01.01.01.02.003,JEFE DEPARTAMENTO 24,"121.500,00","0,00","0,00","121.500,00","0,00","0,00","0,00"
1.01.01.01.01.02.004,JEFE DEPSRTAMENTO RENTAS Y TESORERIA 24,"121.500,00","10.125,00","20.250,00","101.250,00","10.125,00","10.125,00","10.125,00"
1.01.01.01.01.02.005,Jefe de Departamento Seguridad Ciudadana,"121.500,00","0,00","0,00","121.500,00","0,00","0,00","0,00"
1.01.01.01.01.02.006,JEFE Departamento - Contaduria (24),"121.500,00","10.125,00","20.250,00","101.250,00","10.125,00","10.125,00","10.125,00"
1.01.01.01.01.02.007,JEFE de Departamento Registro Civil (24),"121.500,00","10.125,00","20.250,00","101.250,00","10.125,00","10.125,00","10.125,00"
1.01.01.01.01.02.008,JEFE de Seccion II - Coordinacion (22),"119.100,00","9.925,00","19.850,00","99.250,00","9.925,00","9.925,00","9.925,00"
1.01.01.01.01.02.009,JEFE DE SECCION I RENTAS 22,"119.100,00","9.925,00","19.850,00","99.250,00","9.925,00","9.925,00","9.925,00"
1.01.01.01.01.02.011,Jefe de seccion administrativo 21,"118.092,00","9.841,00","19.682,00","98.410,00","9.841,00","9.841,00","9.841,00"
1.01.01.01.01.03.000,PERSONAL SUPERIOR ADMINISTRATIVO,"234.312,00","19.526,00","39.052,00","195.260,00","19.526,00","19.526,00","19.526,00"
1.01.01.01.01.03.001,ADMINISTRATIVO SUPERIOR I   (20),"117.120,00","9.760,00","19.520,00","97.600,00","9.760,00","9.760,00","9.760,00"
1.01.01.01.01.03.002,Administrativo superior III (18),"117.192,00","9.766,00","19.532,00","97.660,00","9.766,00","9.766,00","9.766,00"
1.01.01.01.01.04.000,PERSONAL AUXILIAR ADMINISTRATIVO,"768.731,00","62.545,00","91.558,00","677.173,00","45.779,00","45.779,00","45.779,00"
1.01.01.01.01.04.002,AUXILIAR ADMINISTRATIVO I CAT 17,"348.156,00","29.013,00","58.026,00","290.130,00","29.013,00","29.013,00","29.013,00"
1.01.01.01.01.04.003,Auxiliar Administrativo X (cat10),"312.192,00","0,00","0,00","312.192,00","0,00","0,00","0,00"
1.01.01.01.01.04.004,Auxiliar Admnistrativo IX (cat9),"108.383,00","33.532,00","33.532,00","74.851,00","16.766,00","16.766,00","16.766,00"
1.01.01.01.01.05.001,Administrativo de Ejecucion II Cat 8,"1280.448,00","147.744,00","147.744,00","1132.704,00","73.872,00","73.872,00","73.872,00"
1.01.01.01.01.06.004,DOCENTE XI (CAT 11),"106.176,00","0,00","0,00","106.176,00","0,00","0,00","0,00"
1.01.01.01.01.06.005,Docente IX (cat 9),"100.596,00","8.383,00","16.766,00","83.830,00","8.383,00","8.383,00","8.383,00"
1.01.01.01.01.07.001,Tecnico I cat 18,"585.960,00","0,00","0,00","585.960,00","0,00","0,00","0,00"
1.01.01.01.01.07.002,TECNICO EJEC I CAT 8,"0,00","0,00","0,00","0,00","0,00","0,00","0,00"
1.01.01.01.01.09.000,PERS. SUPERIOR DE MAEST. Y SERVICIOS GRALES.,"3978.696,00","402.942,00","402.942,00","3575.754,00","201.471,00","201.471,00","201.471,00"
1.01.01.01.01.09.001,MAEST SERV GRALES.SUP I 17,"1856.832,00","290.130,00","290.130,00","1566.702,00","145.065,00","145.065,00","145.065,00"
1.01.01.01.01.09.002,Maestr.y Serv grales Sup XVI(16),"789.684,00","0,00","0,00","789.684,00","0,00","0,00","0,00"
1.01.01.01.01.09.003,MAEST SERV GRLES SUP V (15),"225.624,00","112.812,00","112.812,00","112.812,00","56.406,00","56.406,00","56.406,00"
1.01.01.01.01.09.004,Maestr.Serv Grales Suo X (10),"905.364,00","0,00","0,00","905.364,00","0,00","0,00","0,00"
1.01.01.01.01.09.005,Maestr. Serv. Grales Sup. IX,"201.192,00","0,00","0,00","201.192,00","0,00","0,00","0,00"
1.01.01.01.01.10.000,Personal de Maestranza y Serv. Grales.,"2514.900,00","380.012,00","380.012,00","2134.888,00","190.006,00","190.006,00","190.006,00"
1.01.01.01.01.10.001,Maestr. y Serv. Generales I (8),"2011.920,00","167.660,00","167.660,00","1844.260,00","83.830,00","83.830,00","83.830,00"
1.01.01.01.01.10.002,Maestr. Serv Grales II (8),"502.980,00","212.352,00","212.352,00","290.628,00","106.176,00","106.176,00","106.176,00"
1.01.01.01.01.11.001,Inspectores Ejec I CAT 8,"0,00","0,00","0,00","0,00","0,00","0,00","0,00"
1.01.01.01.02.00.000,ADICIONALES Y SUPLEMENTOS VARIOS,"13595.000,00","2623.336,04","2698.596,04","10896.403,96","1290.405,84","1290.405,84","1408.190,20"
1.01.01.01.02.02.000,GASTOS DE REPRESENTACION INTEND Y SECRETARIOS,"520.000,00","75.260,00","150.520,00","369.480,00","75.260,00","75.260,00","75.260,00"
1.01.01.01.02.03.000,ANTIGUEDAD,"3600.000,00","995.069,84","995.069,84","2604.930,16","497.534,92","497.534,92","497.534,92"
1.01.01.01.02.04.000,TITULO,"150.000,00","33.799,66","33.799,66","116.200,34","16.899,83","16.899,83","16.899,83"
1.01.01.01.02.05.000,RESPONSABILIDAD JERARQUICA,"180.000,00","42.114,60","42.114,60","137.885,40","21.057,30","21.057,30","21.057,30"
1.01.01.01.02.06.000,RIESGO E INSALUBRIDAD EN LAS TAREAS,"20.000,00","0,00","0,00","20.000,00","0,00","0,00","0,00"
1.01.01.01.02.07.000,SUBROGANCIA,"25.000,00","5.030,00","5.030,00","19.970,00","2.515,00","2.515,00","2.515,00"
1.01.01.01.02.08.000,QUEBRANTO DE CAJA,"50.000,00","10.107,15","10.107,15","39.892,85","4.924,80","4.924,80","5.182,35"
1.01.01.01.02.09.000,OTROS SUPLEMENTOS,"3000.000,00","84.805,38","84.805,38","2915.194,62","33.602,63","33.602,63","51.202,75"
1.01.01.01.02.10.000,ASISTENCIA PERFECTA Y PUNTUALIDAD,"3000.000,00","270.921,36","270.921,36","2729.078,64","135.141,96","135.141,96","135.779,40"
1.01.01.01.02.11.000,RESPONSABILIDAD TECNICA,"250.000,00","44.234,30","44.234,30","205.765,70","22.117,15","22.117,15","22.117,15"
1.01.01.01.02.12.000,REFRIGERIO,"700.000,00","144.800,00","144.800,00","555.200,00","72.800,00","72.800,00","72.000,00"
1.01.01.01.02.13.000,Adicional no remunerativo,"2000.000,00","840.119,45","840.119,45","1159.880,55","408.552,25","408.552,25","431.567,20"
1.01.01.01.02.14.000,Bonificacion por Jbilacion,"100.000,00","77.074,30","77.074,30","22.925,70","0,00","0,00","77.074,30"
1.01.01.01.03.00.000,SUELDO ANUAL COMPLEMENTARIO,"1500.000,00","0,00","0,00","1500.000,00","0,00","0,00","0,00"
1.01.01.01.03.01.000,AGUINALDO PERSONAL PERMANENTE,"1500.000,00","0,00","0,00","1500.000,00","0,00","0,00","0,00"
1.01.01.01.04.00.000,APORTE PATRONAL JUBILATORIO,"5000.000,00","299.728,78","1355.627,58","3644.372,42","597.440,43","1355.627,58","0,00"
1.01.01.01.04.01.000,APORTE 20% P/PERSONAL PERMANENTE,"5000.000,00","299.728,78","1355.627,58","3644.372,42","597.440,43","1355.627,58","0,00"
1.01.01.01.05.00.000,APORTE PATRONAL PARA OBRAS SOCIALES,"1400.000,00","144.089,86","643.297,30","756.702,70","239.195,88","643.297,30","0,00"
1.01.01.01.05.01.000,FONDO MEDICO ASISTENCIAL (apross),"900.000,00","104.387,52","508.852,28","391.147,72","196.434,54","508.852,28","0,00"
1.01.01.01.05.02.000,SEGUROS ART,"500.000,00","39.702,34","134.445,02","365.554,98","42.761,34","134.445,02","0,00"
1.01.01.01.06.00.000,SUPLENCIAS Y LICENCIAS,"50.000,00","3.644,00","3.644,00","46.356,00","0,00","0,00","3.644,00"
1.01.01.01.06.01.000,PARA PAGO DE SUPLENCIAS Y LICENCIAS,"50.000,00","3.644,00","3.644,00","46.356,00","0,00","0,00","3.644,00"
1.01.01.01.07.00.000,DEUDAS PERSONAL PERMANENTE,"6100.000,00","0,00","6058.674,52","41.325,48","0,00","6058.674,52","0,00"
1.01.01.01.07.01.000,DEUDAS VARIAS,"6100.000,00","0,00","6058.674,52","41.325,48","0,00","6058.674,52","0,00"
1.01.01.01.08.00.000,CAPACITACION PERSONAL,"30.000,00","200,00","200,00","29.800,00","0,00","0,00","200,00"
1.01.01.02.01.00.000,RETRIBUCIONES,"500.000,00","100.373,52","100.373,52","399.626,48","51.101,20","51.101,20","49.272,32"
1.01.01.02.01.01.000,PERSONAL CONTRATADO,"500.000,00","100.373,52","100.373,52","399.626,48","51.101,20","51.101,20","49.272,32"
1.01.01.02.02.00.000,ADICIONALES Y SUPLEMENTOS VARIOS,"450.000,00","0,00","0,00","450.000,00","0,00","0,00","0,00"
1.01.01.02.02.01.000,ANTIGUEDAD,"50.000,00","0,00","0,00","50.000,00","0,00","0,00","0,00"
1.01.01.02.02.02.000,OTROS SUPLEMENTOS,"100.000,00","0,00","0,00","100.000,00","0,00","0,00","0,00"
1.01.01.02.02.03.000,Adicional no Remunerativo Pers. no permanente,"300.000,00","0,00","0,00","300.000,00","0,00","0,00","0,00"
