codigo,descripcion,Autorizado presupuesto,recaudación mes,acumulado,en menos,en más
1.00.00.00.00.00.000,INGRESOS CORRIENTES,"138744.000,00","10032.183,59","30957.479,89","107786.520,11","0,00"
1.01.00.00.00.00.000,INGRESOS DE JURISDICCION MUNICIPAL,"75090.000,00","6373.031,01","16320.176,75","58769.823,25","0,00"
1.01.00.01.00.00.000,INGRESOS TRIBUTARIOS,"62440.000,00","6166.154,92","15356.627,73","47083.372,27","0,00"
1.01.00.01.00.01.000,CONTRIBUCION INMUEBLE,"30000.000,00","2658.061,04","5869.981,54","24130.018,46","0,00"
1.01.00.01.00.02.000,CONT.QUE INC.S/COM. E IND.,"2000.000,00","114.859,33","468.470,96","1531.529,04","0,00"
1.01.00.01.00.03.000,CONT.QUE INC.S/ESPECT. Y DIV.PBCAS.,"10.000,00","0,00","0,00","10.000,00","0,00"
1.01.00.01.00.08.000,CONT.QUE INC.S/LOS CEMENT.(EXC.C.DE N. Y),"10.000,00","0,00","0,00","10.000,00","0,00"
1.01.00.01.00.11.000,CONT.P/SERV.RELAT.A LA CONSTR.DE OBRAS PRIV.,"2200.000,00","173.162,00","368.872,00","1831.128,00","0,00"
1.01.00.01.00.11.001,derechos variables O p,"2000.000,00","158.482,00","329.412,00","1670.588,00","0,00"
1.01.00.01.00.11.002,DER OF FIJOS O PRIV,"200.000,00","14.680,00","39.460,00","160.540,00","0,00"
1.01.00.01.00.12.000,CONT.P/INSPECCION ELECTR. Y MECANICA,"4000.000,00","848.865,58","1464.966,28","2535.033,72","0,00"
1.01.00.01.00.14.000,DERECHOS DE OFICINA,"700.000,00","89.755,77","145.993,14","554.006,86","0,00"
1.01.00.01.00.14.001,RECUPERO DE GASTOS POR NOTIFICACIONES,"200.000,00","19.990,00","47.637,37","152.362,63","0,00"
1.01.00.01.00.14.002,OTROS DERECHOS DE OFICINA,"500.000,00","69.765,77","98.355,77","401.644,23","0,00"
1.01.00.01.00.14.003,Interes plan pago tarjeta credito,"0,00","0,00","0,00","0,00","0,00"
1.01.00.01.00.15.000,TASA P/SERVICIO DE REGISTRO CIVIL,"900.000,00","68.200,00","174.790,00","725.210,00","0,00"
1.01.00.01.00.16.000,OTROS TRIBUTOS,"50.000,00","2.863,44","8.019,03","41.980,97","0,00"
1.01.00.01.00.18.000,TRIBUTOS CORRESP. A EJERC. ANTERIORES,"15420.000,00","1286.247,44","3843.167,97","11576.832,03","0,00"
1.01.00.01.00.18.001,comercio e industria,"400.000,00","83.550,99","255.733,59","144.266,41","0,00"
1.01.00.01.00.18.002,tasa a la propiedad ejer. anteriores,"10000.000,00","794.463,69","2133.883,54","7866.116,46","0,00"
1.01.00.01.00.18.003,Cont s/automotores ejerc nterior,"5000.000,00","408.232,76","1453.550,84","3546.449,16","0,00"
1.01.00.01.00.18.004,DEUDAS VARIAS ANTERIORES,"20.000,00","0,00","0,00","20.000,00","0,00"
1.01.00.01.00.19.000,CONTR.MUNICIP.S/AUTOMOTORES Y SIMILARES,"7000.000,00","826.640,32","2914.866,81","4085.133,19","0,00"
1.01.00.01.00.20.000,TASA DE INSP. SOBRE ESTRUCTURAS PORTANTES,"150.000,00","97.500,00","97.500,00","52.500,00","0,00"
1.01.00.02.00.00.000,OTROS INGRESOS DE JURIDICCION MUNICIPAL,"12650.000,00","206.876,09","963.549,02","11686.450,98","0,00"
1.01.00.02.00.02.000,RENTAS QUE PRODUCE EL PATRIMONIO,"1230.000,00","135.880,09","306.571,45","923.428,55","0,00"
1.01.00.02.00.02.001,ALQUILER DE MAQUINARIAS,"10.000,00","0,00","0,00","10.000,00","0,00"
1.01.00.02.00.02.002,DIFERENCIA DE CAMBIO MONEDA EXTRANJERA,"10.000,00","0,00","0,00","10.000,00","0,00"
1.01.00.02.00.02.003,RECOLECCION DE PODA Y ESCOMBROS,"50.000,00","0,00","0,00","50.000,00","0,00"
1.01.00.02.00.02.004,RECOLECION DE RESIDUOS BARRIO 4 HOJAS,"1000.000,00","75.600,00","221.200,00","778.800,00","0,00"
1.01.00.02.00.02.005,PROVISION DE AGUA,"10.000,00","0,00","0,00","10.000,00","0,00"
1.01.00.02.00.02.006,OTROS INGRESOS,"100.000,00","60.280,09","85.371,45","14.628,55","0,00"
1.01.00.02.00.02.010,Registro Anulacion ordenes de pago,"50.000,00","0,00","0,00","50.000,00","0,00"
1.01.00.02.00.03.000,INGRESO CENTRO DE SALUD MUNICIPAL,"1400.000,00","40.201,00","383.247,00","1016.753,00","0,00"
1.01.00.02.00.03.001,BONOS CENTRO DE SALUD,"1000.000,00","0,00","297.080,00","702.920,00","0,00"
1.01.00.02.00.03.002,Red Sanitaria,"200.000,00","20.761,00","66.727,00","133.273,00","0,00"
1.01.00.02.00.03.003,B.c.s. el talar,"200.000,00","19.440,00","19.440,00","180.560,00","0,00"
1.01.00.02.00.04.000,OFICINA ADMINISTRATIVA DE FALTAS,"620.000,00","22.155,00","72.224,25","547.775,75","0,00"
1.01.00.02.00.04.001,MULTAS SOBRE COMERCIO E INDUSTRIA,"20.000,00","0,00","0,00","20.000,00","0,00"
1.01.00.02.00.04.002,MULTAS DE OBRAS PRIVADAS,"100.000,00","0,00","0,00","100.000,00","0,00"
1.01.00.02.00.04.003,MULTAS DE TRANSITO,"100.000,00","0,00","0,00","100.000,00","0,00"
1.01.00.02.00.04.004,OTRAS MULTAS,"400.000,00","22.155,00","72.224,25","327.775,75","0,00"
1.01.00.02.00.05.000,CONTRIBUCION POR MEJORAS,"9200.000,00","8.640,00","11.002,00","9188.998,00","0,00"
1.01.00.02.00.05.001,CORDON CUNETA,"1000.000,00","0,00","0,00","1000.000,00","0,00"
1.01.00.02.00.05.002,OBRA GAS NATURAL,"7000.000,00","0,00","0,00","7000.000,00","0,00"
1.01.00.02.00.05.004,OBRA ALUMBRADO PUBLICO,"1200.000,00","8.640,00","11.002,00","1188.998,00","0,00"
1.01.00.02.00.06.000,"SUBENCIONES, DONACIONES Y LEGADOS","60.000,00","0,00","0,00","60.000,00","0,00"
1.01.00.02.00.06.001,DONACIONES POR PUBLICIDAD,"20.000,00","0,00","0,00","20.000,00","0,00"
1.01.00.02.00.06.002,OTRAS DONACIONES Y LEGADOS,"40.000,00","0,00","0,00","40.000,00","0,00"
1.01.00.02.00.07.000,EVENTUALES E IMPREVISTOS,"100.000,00","0,00","190.504,32","0,00","90.504,32"
1.01.00.02.00.08.000,INGRESO MUSEO A CIELO ABIERTO,"40.000,00","0,00","0,00","40.000,00","0,00"
1.02.00.00.00.00.000,DE OTRAS JURIDICCIONES,"63654.000,00","3659.152,58","14637.303,14","49016.696,86","0,00"
1.02.00.01.00.00.000,PARTICIPACION EN IMPUESTOS PCIALESY NAC.,"51954.000,00","3654.695,58","10324.623,14","41629.376,86","0,00"
1.02.00.01.00.02.000,COPARTICIP.IMPOSITIVA ANO ACTUAL,"40000.000,00","2885.503,18","6496.451,61","33503.548,39","0,00"
1.02.00.01.00.03.000,COPARTICIPACION IMPOSITIVA EJERC. ANTER.,"2000.000,00","0,00","1906.000,87","93.999,13","0,00"
1.02.00.01.00.04.000,INGRESOS FO.FIN.DES PROVINCIAL,"6000.000,00","460.260,50","1158.751,32","4841.248,68","0,00"
1.02.00.01.00.04.001,CONVENIO SALUD,"6000.000,00","460.260,50","1158.751,32","4841.248,68","0,00"
1.02.00.01.00.05.000,FONDO DESCENTRALIZACION ANOS ANTERIORES,"250.000,00","0,00","0,00","250.000,00","0,00"
1.02.00.01.00.06.000,FONDO FEDERAL SOLIDARIO,"2000.000,00","133.260,38","352.875,54","1647.124,46","0,00"
1.02.00.01.00.07.000,Fondo Mant (FODEEMEP),"250.000,00","0,00","36.658,54","213.341,46","0,00"
1.02.00.01.00.08.000,Obra Agua Valle del Sol,"0,00","0,00","0,00","0,00","0,00"
1.02.00.01.00.09.000,Ingresos FASAMU,"1400.000,00","175.671,52","373.885,26","1026.114,74","0,00"
1.02.00.01.00.10.000,FOMMEP,"54.000,00","0,00","0,00","54.000,00","0,00"
