codigo,descripcion,Autorizado presupuesto,recaudación mes,acumulado,en menos,en más
1.00.00.00.00.00.000,INGRESOS CORRIENTES,"138744.000,00","5691.273,11","36648.753,00","102095.247,00","0,00"
1.01.00.00.00.00.000,INGRESOS DE JURISDICCION MUNICIPAL,"75090.000,00","2133.185,34","18453.362,09","56636.637,91","0,00"
1.01.00.01.00.00.000,INGRESOS TRIBUTARIOS,"62440.000,00","1974.288,54","17330.916,27","45109.083,73","0,00"
1.01.00.01.00.01.000,CONTRIBUCION INMUEBLE,"30000.000,00","565.104,90","6435.086,44","23564.913,56","0,00"
1.01.00.01.00.02.000,CONT.QUE INC.S/COM. E IND.,"2000.000,00","38.144,36","506.615,32","1493.384,68","0,00"
1.01.00.01.00.03.000,CONT.QUE INC.S/ESPECT. Y DIV.PBCAS.,"10.000,00","0,00","0,00","10.000,00","0,00"
1.01.00.01.00.08.000,CONT.QUE INC.S/LOS CEMENT.(EXC.C.DE N. Y),"10.000,00","0,00","0,00","10.000,00","0,00"
1.01.00.01.00.11.000,CONT.P/SERV.RELAT.A LA CONSTR.DE OBRAS PRIV.,"2200.000,00","119.645,66","488.517,66","1711.482,34","0,00"
1.01.00.01.00.11.001,derechos variables O p,"2000.000,00","114.725,66","444.137,66","1555.862,34","0,00"
1.01.00.01.00.11.002,DER OF FIJOS O PRIV,"200.000,00","4.920,00","44.380,00","155.620,00","0,00"
1.01.00.01.00.12.000,CONT.P/INSPECCION ELECTR. Y MECANICA,"4000.000,00","0,00","1464.966,28","2535.033,72","0,00"
1.01.00.01.00.14.000,DERECHOS DE OFICINA,"700.000,00","23.153,08","169.146,22","530.853,78","0,00"
1.01.00.01.00.14.001,RECUPERO DE GASTOS POR NOTIFICACIONES,"200.000,00","14.960,00","62.597,37","137.402,63","0,00"
1.01.00.01.00.14.002,OTROS DERECHOS DE OFICINA,"500.000,00","8.193,08","106.548,85","393.451,15","0,00"
1.01.00.01.00.14.003,Interes plan pago tarjeta credito,"0,00","0,00","0,00","0,00","0,00"
1.01.00.01.00.15.000,TASA P/SERVICIO DE REGISTRO CIVIL,"900.000,00","55.570,00","230.360,00","669.640,00","0,00"
1.01.00.01.00.16.000,OTROS TRIBUTOS,"50.000,00","3.620,75","11.639,78","38.360,22","0,00"
1.01.00.01.00.18.000,TRIBUTOS CORRESP. A EJERC. ANTERIORES,"15420.000,00","809.843,16","4653.011,13","10766.988,87","0,00"
1.01.00.01.00.18.001,comercio e industria,"400.000,00","19.622,28","275.355,87","124.644,13","0,00"
1.01.00.01.00.18.002,tasa a la propiedad ejer. anteriores,"10000.000,00","598.460,59","2732.344,13","7267.655,87","0,00"
1.01.00.01.00.18.003,Cont s/automotores ejerc nterior,"5000.000,00","191.760,29","1645.311,13","3354.688,87","0,00"
1.01.00.01.00.18.004,DEUDAS VARIAS ANTERIORES,"20.000,00","0,00","0,00","20.000,00","0,00"
1.01.00.01.00.19.000,CONTR.MUNICIP.S/AUTOMOTORES Y SIMILARES,"7000.000,00","359.206,63","3274.073,44","3725.926,56","0,00"
1.01.00.01.00.20.000,TASA DE INSP. SOBRE ESTRUCTURAS PORTANTES,"150.000,00","0,00","97.500,00","52.500,00","0,00"
1.01.00.02.00.00.000,OTROS INGRESOS DE JURIDICCION MUNICIPAL,"12650.000,00","158.896,80","1122.445,82","11527.554,18","0,00"
1.01.00.02.00.02.000,RENTAS QUE PRODUCE EL PATRIMONIO,"1230.000,00","76.921,53","383.492,98","846.507,02","0,00"
1.01.00.02.00.02.001,ALQUILER DE MAQUINARIAS,"10.000,00","0,00","0,00","10.000,00","0,00"
1.01.00.02.00.02.002,DIFERENCIA DE CAMBIO MONEDA EXTRANJERA,"10.000,00","0,00","0,00","10.000,00","0,00"
1.01.00.02.00.02.003,RECOLECCION DE PODA Y ESCOMBROS,"50.000,00","0,00","0,00","50.000,00","0,00"
1.01.00.02.00.02.004,RECOLECION DE RESIDUOS BARRIO 4 HOJAS,"1000.000,00","75.600,00","296.800,00","703.200,00","0,00"
1.01.00.02.00.02.005,PROVISION DE AGUA,"10.000,00","0,00","0,00","10.000,00","0,00"
1.01.00.02.00.02.006,OTROS INGRESOS,"100.000,00","1.321,53","86.692,98","13.307,02","0,00"
1.01.00.02.00.02.010,Registro Anulacion ordenes de pago,"50.000,00","0,00","0,00","50.000,00","0,00"
1.01.00.02.00.03.000,INGRESO CENTRO DE SALUD MUNICIPAL,"1400.000,00","31.632,00","414.879,00","985.121,00","0,00"
1.01.00.02.00.03.001,BONOS CENTRO DE SALUD,"1000.000,00","0,00","297.080,00","702.920,00","0,00"
1.01.00.02.00.03.002,Red Sanitaria,"200.000,00","16.872,00","83.599,00","116.401,00","0,00"
1.01.00.02.00.03.003,B.c.s. el talar,"200.000,00","14.760,00","34.200,00","165.800,00","0,00"
