codigo,descripcion,Autorizado presupuesto,recaudación mes,acumulado,en menos,en más
1.00.00.00.00.00.000,INGRESOS CORRIENTES,"138744.000,00","9084.882,18","20925.296,30","117818.703,70","0,00"
1.01.00.00.00.00.000,INGRESOS DE JURISDICCION MUNICIPAL,"75090.000,00","6054.217,69","9947.145,74","65142.854,26","0,00"
1.01.00.01.00.00.000,INGRESOS TRIBUTARIOS,"62440.000,00","5909.274,58","9190.472,81","53249.527,19","0,00"
1.01.00.01.00.01.000,CONTRIBUCION INMUEBLE,"30000.000,00","2699.501,78","3211.920,50","26788.079,50","0,00"
1.01.00.01.00.02.000,CONT.QUE INC.S/COM. E IND.,"2000.000,00","296.906,63","353.611,63","1646.388,37","0,00"
1.01.00.01.00.03.000,CONT.QUE INC.S/ESPECT. Y DIV.PBCAS.,"10.000,00","0,00","0,00","10.000,00","0,00"
1.01.00.01.00.08.000,CONT.QUE INC.S/LOS CEMENT.(EXC.C.DE N. Y),"10.000,00","0,00","0,00","10.000,00","0,00"
1.01.00.01.00.11.000,CONT.P/SERV.RELAT.A LA CONSTR.DE OBRAS PRIV.,"2200.000,00","76.297,00","195.710,00","2004.290,00","0,00"
1.01.00.01.00.11.001,derechos variables O p,"2000.000,00","62.717,00","170.930,00","1829.070,00","0,00"
1.01.00.01.00.11.002,DER OF FIJOS O PRIV,"200.000,00","13.580,00","24.780,00","175.220,00","0,00"
1.01.00.01.00.12.000,CONT.P/INSPECCION ELECTR. Y MECANICA,"4000.000,00","0,00","616.100,70","3383.899,30","0,00"
1.01.00.01.00.14.000,DERECHOS DE OFICINA,"700.000,00","29.548,37","56.237,37","643.762,63","0,00"
1.01.00.01.00.14.001,RECUPERO DE GASTOS POR NOTIFICACIONES,"200.000,00","16.228,37","27.647,37","172.352,63","0,00"
1.01.00.01.00.14.002,OTROS DERECHOS DE OFICINA,"500.000,00","13.320,00","28.590,00","471.410,00","0,00"
1.01.00.01.00.14.003,Interes plan pago tarjeta credito,"0,00","0,00","0,00","0,00","0,00"
1.01.00.01.00.15.000,TASA P/SERVICIO DE REGISTRO CIVIL,"900.000,00","46.230,00","106.590,00","793.410,00","0,00"
1.01.00.01.00.16.000,OTROS TRIBUTOS,"50.000,00","3.579,91","5.155,59","44.844,41","0,00"
1.01.00.01.00.18.000,TRIBUTOS CORRESP. A EJERC. ANTERIORES,"15420.000,00","939.352,32","2556.920,53","12863.079,47","0,00"
1.01.00.01.00.18.001,comercio e industria,"400.000,00","38.168,68","172.182,60","227.817,40","0,00"
1.01.00.01.00.18.002,tasa a la propiedad ejer. anteriores,"10000.000,00","553.169,19","1339.419,85","8660.580,15","0,00"
1.01.00.01.00.18.003,Cont s/automotores ejerc nterior,"5000.000,00","348.014,45","1045.318,08","3954.681,92","0,00"
1.01.00.01.00.18.004,DEUDAS VARIAS ANTERIORES,"20.000,00","0,00","0,00","20.000,00","0,00"
1.01.00.01.00.19.000,CONTR.MUNICIP.S/AUTOMOTORES Y SIMILARES,"7000.000,00","1817.858,57","2088.226,49","4911.773,51","0,00"
1.01.00.01.00.20.000,TASA DE INSP. SOBRE ESTRUCTURAS PORTANTES,"150.000,00","0,00","0,00","150.000,00","0,00"
1.01.00.02.00.00.000,OTROS INGRESOS DE JURIDICCION MUNICIPAL,"12650.000,00","144.943,11","756.672,93","11893.327,07","0,00"
1.01.00.02.00.02.000,RENTAS QUE PRODUCE EL PATRIMONIO,"1230.000,00","84.170,86","170.691,36","1059.308,64","0,00"
1.01.00.02.00.02.001,ALQUILER DE MAQUINARIAS,"10.000,00","0,00","0,00","10.000,00","0,00"
