codigo,descripcion,Autorizado presupuesto,imputado mes,imputado acumulado,saldo a imputar,pagado mes,pagado acumulado,saldo a pagar
1.00.00.00.00.00.000,EGRESOS CORRIENTES,"91483.320,00","6531.470,08","36961.908,49","54521.411,51","10844.590,77","32001.087,36","4960.821,13"
1.01.00.00.00.00.000,FUNCIONAMIENTO,"76226.320,00","5326.202,56","32014.103,75","44212.216,25","10246.503,02","28325.303,71","3688.800,04"
1.01.01.00.00.00.000,PERSONAL,"49086.320,00","3346.475,11","19427.890,84","29658.429,16","6095.126,99","19382.189,69","45.701,15"
1.01.01.01.01.00.000,SUELDOS BASICOS,"13303.907,00","872.830,90","3299.595,80","10004.311,20","1745.173,80","3299.595,80","0,00"
1.01.01.01.01.01.000,"AUTORIDADES SUPERIORES, H.C.D. Y H.T.C.","2527.296,00","184.382,00","724.980,00","1802.316,00","368.764,00","724.980,00","0,00"
1.01.01.01.01.01.001,INTENDENTE,"405.432,00","35.474,00","138.520,00","266.912,00","70.948,00","138.520,00","0,00"
1.01.01.01.01.01.002,secretario de  gobierno,"283.644,00","24.818,00","96.910,00","186.734,00","49.636,00","96.910,00","0,00"
1.01.01.01.01.01.003,SECRETARIO DE OBRAS PUBLICAS Y PRIVADAS,"283.644,00","24.818,00","96.910,00","186.734,00","49.636,00","96.910,00","0,00"
1.01.01.01.01.01.004,SECRETARIO DE HACIENDA,"283.644,00","24.818,00","96.910,00","186.734,00","49.636,00","96.910,00","0,00"
1.01.01.01.01.01.005,SECRETARIO de servicios Publicos,"283.644,00","24.818,00","96.910,00","186.734,00","49.636,00","96.910,00","0,00"
1.01.01.01.01.01.006,Secretario de Desarrollo y Gest. publica,"283.644,00","24.818,00","96.910,00","186.734,00","49.636,00","96.910,00","0,00"
1.01.01.01.01.01.007,secretario de seguridad ciudadana,"283.644,00","24.818,00","96.910,00","186.734,00","49.636,00","96.910,00","0,00"
1.01.01.01.01.01.010,Direccion de Alumbrado Publico,"84.000,00","0,00","0,00","84.000,00","0,00","0,00","0,00"
1.01.01.01.01.01.011,Direccion de Obras Publicas,"84.000,00","0,00","5.000,00","79.000,00","0,00","5.000,00","0,00"
1.01.01.01.01.01.012,Direccion de Espacios Verdes,"84.000,00","0,00","0,00","84.000,00","0,00","0,00","0,00"
1.01.01.01.01.01.013,DIRECCION DE MEDIO AMBIENTE,"84.000,00","0,00","0,00","84.000,00","0,00","0,00","0,00"
1.01.01.01.01.01.015,Asesora Letrada,"84.000,00","0,00","0,00","84.000,00","0,00","0,00","0,00"
1.01.01.01.01.02.000,personal jerarquico,"1206.792,00","63.068,00","246.268,00","960.524,00","126.136,00","246.268,00","0,00"
1.01.01.01.01.02.001,CAPATAZ GENERAL             (24),"121.500,00","0,00","0,00","121.500,00","0,00","0,00","0,00"
1.01.01.01.01.02.002,JEFE DE DEP OBRAS PRIV CAT  (24),"121.500,00","0,00","0,00","121.500,00","0,00","0,00","0,00"
